date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-05-15,pm,161,101-200,비타민d,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,162,101-200,kbo빼빼로,naver_top200,Top200_확장후보,Y,dessert,과자/간식,브랜드_완제품,Y
2026-05-15,pm,163,101-200,산딸기,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,164,101-200,토마토즙,naver_top200,Top200_확장후보,Y,agri,과채류,가공식품,N
2026-05-15,pm,165,101-200,반숙란,naver_top200,Top200_확장후보,Y,processed,가공식품,가공식품,N
2026-05-15,pm,166,101-200,삼겹살,naver_top200,Top200_확장후보,Y,meat,돼지고기,축산물,N
2026-05-15,pm,167,101-200,삼다수500ml,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,168,101-200,키위,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,169,101-200,하이퍼셀코엔자임q10,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,170,101-200,명가삼대떡집,naver_top200,Top200_확장후보,Y,dessert,떡,브랜드_완제품,Y
2026-05-15,pm,171,101-200,오쏘몰이뮨,naver_top200,Top200_확장후보,Y,health,건강식품,브랜드_완제품,Y
2026-05-15,pm,172,101-200,빅토리아탄산수,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-15,pm,173,101-200,홍삼,naver_top200,Top200_확장후보,Y,health,건강진액,건강식품,Y
2026-05-15,pm,174,101-200,쑥떡,naver_top200,Top200_확장후보,Y,dessert,떡,가공식품,N
2026-05-15,pm,175,101-200,갈치,naver_top200,Top200_확장후보,Y,seafood,생선/수산물,수산물,N
2026-05-15,pm,176,101-200,롯데웰푸드kbo,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,177,101-200,백골뱅이,naver_top200,Top200_확장후보,Y,seafood,패류,수산물,N
2026-05-15,pm,178,101-200,장족깡,naver_top200,Top200_확장후보,Y,dessert,과자/간식,가공식품,N
2026-05-15,pm,179,101-200,포스파티딜세린,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,180,101-200,홍게,naver_top200,Top200_확장후보,Y,seafood,갑각류,수산물,N
2026-05-15,pm,181,101-200,그래니샐러드,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,182,101-200,라면,naver_top200,Top200_확장후보,Y,processed,간편식/반찬,브랜드_완제품,Y
2026-05-15,pm,183,101-200,정관장활기력,naver_top200,Top200_확장후보,Y,health,건강진액,브랜드_완제품,Y
2026-05-15,pm,184,101-200,한효주김,naver_top200,Top200_확장후보,Y,seafood,해조류,가공식품,N
2026-05-15,pm,185,101-200,간장게장,naver_top200,Top200_확장후보,Y,processed,반찬/수산가공,가공식품,N
2026-05-15,pm,186,101-200,테아닌,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,187,101-200,피타브레드,naver_top200,Top200_확장후보,Y,dessert,베이커리/디저트,가공식품,N
2026-05-15,pm,188,101-200,답례품,naver_top200,Top200_확장후보,Y,gift,기념일,기념일,Y
2026-05-15,pm,189,101-200,민물장어,naver_top200,Top200_확장후보,Y,seafood,생선/수산물,수산물,N
2026-05-15,pm,190,101-200,인삼다당체,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
